// id_rezerwacji id_filmu numery_miejsc
0 3 2,3,4,5
1 5 4,5,6,7
2 10 5,6,7,8,9,8
3 12 10,22,44,12
4 14 1,2,3
5 1 4,5,6
6 2 5,6,7
7 4 5,7,6,8
8 6 6,8,3,2
9 7 4,2,3,5
10 11 1,2,3,4
11 15 1,2
12 16 1,2
13 15 5,6,7
14 16 5,6,7
15 15 9,10,11,12
16 16 9,10,11,12
17 1 24,25,26
18 2 44,30
19 1 69,70,71
20 0 41,42,56,57
21 0 43,44,58,59
22 0 45,60
23 0 100
24 0 75
25 1 45
26 0 90
27 0 74
28 0 89
29 0 73
30 0 72
31 1 44
32 0 88
33 0 87
34 0 71
35 0 86
36 0 85
37 1 59
38 0 55,70
39 0 98,99
40 0 84
41 0 30
42 0 14,15,29
43 0 96,97
44 0 13,28
45 0 27,40
46 0 12
47 0 11
48 0 10
49 0 83
50 0 26
51 0 69
52 0 54
53 0 82
54 0 95
55 0 94
56 0 93
57 0 92
58 0 91
59 0 76
60 0 77
61 0 78
62 0 79
63 0 68,80,81
64 0 67
65 0 66
66 0 65
67 0 53
68 1 58
69 0 64
70 0 52
71 0 63
72 0 25
73 0 62
74 0 51
75 0 50
76 0 39
77 0 38
78 1 38,57
